predicate_raw,memories,relation_type,arity,similarity
reading_goal,7,current_goal,single,0.532
phone_policy_recommendation,7,recommended,speech,0.435
pet_toy_recommendation,7,recommended,speech,0.479
pet_name,7,owns_pet,single,0.575
occupation,7,works_as,single,0.660
military_info,7,other,unknown,0.197
kitchen_appliances,7,other,unknown,0.279
home_address,7,lives_in,single,0.496
gift_budget,7,financial_activity,set,0.328
future_plans,7,planned_event,event,0.603
fitness_goal,7,current_goal,single,0.576
fitness_activity,7,practises_hobby,set,0.476
financial_goals,7,current_goal,single,0.637
electronics_owned,7,owns,set,0.478
current_project,7,current_goal,single,0.386
courses_enrolled,7,studies,single,0.464
cooking_history,7,event_occurred,event,0.550
conservation_recommendations,7,recommended,speech,0.364
commute_routine,7,routine,single,0.415
collections,7,owns,set,0.401
collectibles_owned,7,owns,set,0.657
charity_fundraising,7,other,unknown,0.276
charity_event,7,attended,set,0.425
certifications,7,other,unknown,0.311
career_goals,7,current_goal,single,0.595
carbon_footprint_advice,7,recommended,speech,0.250
athens_restaurant_recommendation,7,recommended,speech,0.382
assistant_design,7,explained,speech,0.527
art_collection,7,owns,set,0.337
ancestry,7,other,unknown,0.328
acquaintance_interests,7,knows_person,set,0.604
work_schedule,6,routine,single,0.458
work_projects,6,works_at,single,0.414
winery_info,6,other,unknown,0.181
watchlist,6,watched,set,0.577
watch_retailer_recommendation,6,recommended,speech,0.442
vacation_plans,6,planned_event,event,0.400
user_profession,6,works_as,single,0.562
tv_shows_watching,6,watched,set,0.653
tv_shows,6,watched,set,0.538
travel_interests,6,visited,set,0.506
travel_gear,6,owns,set,0.372
travel_advice,6,recommended,speech,0.540
trail_info,6,other,unknown,0.259
tech_stack,6,other,unknown,0.207
suspension_recommendations,6,recommended,speech,0.304
surname_etymology,6,other,unknown,0.272
stamp_collection,6,owns,set,0.321
social_activity,6,practises_hobby,set,0.449
sleep_schedule,6,routine,single,0.496
seasickness_prevention_advice,6,recommended,speech,0.284
running_performance,6,other,unknown,0.172
relationship_status,6,relationship_status,single,0.814
recipe_provided,6,cooked,set,0.413
reading_interests,6,read,set,0.550
reading_habit,6,routine,single,0.606
professional_contacts,6,recommended,speech,0.395
owned_items,6,owns,set,0.742
music_interests,6,listened_to,set,0.542
model_projects,6,other,unknown,0.291
ml_framework,6,other,unknown,0.225
loyalty_points,6,other,unknown,0.239
jewelry_maintenance,6,other,unknown,0.220
home_location,6,lives_in,single,0.632
home_improvement_plans,6,planned_event,event,0.267
guitar_lessons,6,other,unknown,0.193
grocery_spending,6,financial_activity,set,0.528
grocery_purchases,6,acquired,set,0.356
games_completed,6,completed,set,0.529
game_progress,6,other,unknown,0.334
fictional_character,6,other,unknown,0.276
education_goals,6,current_goal,single,0.564
dining_plans,6,planned_event,event,0.485
data_breach_record,6,other,unknown,0.269
dance_classes,6,other,unknown,0.293
cycling_equipment,6,owns,set,0.347
content_creation_plans,6,planned_event,event,0.355
cocktail_recipe,6,other,unknown,0.299
clothing,6,owns,set,0.394
cleaning_tasks,6,other,unknown,0.272
chamberlin_usage,6,other,unknown,0.104
car_expenses,6,financial_activity,set,0.398
camera_collection,6,owns,set,0.319
business_name,6,other,unknown,0.317
breakfast_pastry_recommendation,6,recommended,speech,0.256
bike_accessories,6,owns,set,0.372
bbq_recommendations,6,recommended,speech,0.273
baking_plans,6,planned_event,event,0.389
audiobook_narrators,6,other,unknown,0.297
audiobook_narration,6,other,unknown,0.295
athens_view_recommendation,6,recommended,speech,0.309
assistant_code_contribution,6,explained,speech,0.366
assistant_campaigns,6,recommended,speech,0.450
aquarium,6,other,unknown,0.309
amp_recommendations,6,recommended,speech,0.273
album_track,6,other,unknown,0.348
ai_image_prompts,6,other,unknown,0.250
workout_routine,5,routine,single,0.557
work_hours,5,works_at,single,0.382
work_history,5,event_occurred,event,0.522
winery_tasting_fee,5,other,unknown,0.155
wilderness_regulation,5,other,unknown,0.265
water_filter_recommendation,5,recommended,speech,0.262
water_bottle_recommendation,5,recommended,speech,0.243
vr_simulation_recommendation,5,recommended,speech,0.240
venice_restaurant_recommendation,5,recommended,speech,0.368
utensil_holder_recommendations,5,recommended,speech,0.247
user_plans,5,planned_event,event,0.416
user_interests,5,other,unknown,0.341
un_history,5,event_occurred,event,0.304
ukulele_lesson_recommendations,5,recommended,speech,0.254
trekking_pole_recommendation,5,recommended,speech,0.228
training_destination_recommendation,5,recommended,speech,0.421
tire_recommendations,5,recommended,speech,0.211
tennis_activity,5,practises_hobby,set,0.351
software_pricing,5,other,unknown,0.298
social_media_breaks,5,other,unknown,0.219
social_circle_news,5,other,unknown,0.263
sochi_recommendations,5,recommended,speech,0.323
smartwatch,5,watched,set,0.364
skincare_recommendations,5,recommended,speech,0.429
shopping_interests,5,other,unknown,0.344
shopping_intent,5,current_goal,single,0.381
scholarship_info,5,other,unknown,0.341
scheduled_activities,5,planned_event,event,0.482
savoy_landmark,5,other,unknown,0.266
running_shoes,5,other,unknown,0.161
running_goals,5,current_goal,single,0.563
rostov_recommendation,5,recommended,speech,0.330
property_ownership,5,owns,set,0.682
projects,5,completed,set,0.379
project_plans,5,planned_event,event,0.468
plano_headquarters,5,other,unknown,0.252
pet_scratching_post_recommendation,5,recommended,speech,0.419
pet_care,5,owns_pet,single,0.590
party_theme,5,other,unknown,0.197
os_development,5,other,unknown,0.306
nassim_haramein_books,5,read,set,0.379
music_recommendation,5,recommended,speech,0.492
model_paint_recommendation,5,recommended,speech,0.264
merger_communication_strategy,5,other,unknown,0.237
medical_appointments,5,attended,set,0.374
meal_plan,5,planned_event,event,0.460
loyalty_programs,5,used_service,set,0.369
lost_items,5,other,unknown,0.319
lifeguard_safety_recommendation,5,recommended,speech,0.294
jewelry_collection,5,owns,set,0.369
houseplant,5,grows,set,0.492
hotel_recommendations,5,recommended,speech,0.345
home_zip_code,5,other,unknown,0.332
home_projects,5,grows,set,0.368
health_condition,5,health_status,single,0.719
guitar_humidifier_recommendations,5,recommended,speech,0.192
groceries,5,ate_at,set,0.362
friend,5,other,unknown,0.265
footwear_owned,5,owns,set,0.430
food_tried,5,ate_at,set,0.381
food_prepared,5,cooked,set,0.624
food_orders,5,ate_at,set,0.631
follow_up_task,5,current_goal,single,0.360
family_news,5,other,unknown,0.326
family_activities,5,practises_hobby,set,0.460
employment,5,works_at,single,0.557
eco_friendly_shoe_recommendation,5,recommended,speech,0.252
earbuds,5,other,unknown,0.281
display_case_recommendations,5,recommended,speech,0.260
director_filmography,5,other,unknown,0.255
dietary_habits,5,dietary_rule,single,0.553
dietary_goals,5,current_goal,single,0.494
diet,5,dietary_rule,single,0.550
costa_rica_recommendation,5,recommended,speech,0.305
cooking_plan,5,planned_event,event,0.547
computer_maintenance,5,other,unknown,0.282
commute_time,5,other,unknown,0.262
coin_collecting_resource,5,other,unknown,0.329
clothing_items,5,owns,set,0.426
career_achievement,5,milestone,event,0.463
cardano_proposal,5,other,unknown,0.214
car_owned,5,owns,set,0.657
business_venture,5,other,unknown,0.297
books_authored,5,read,set,0.546
bike_carrier_recommendation,5,recommended,speech,0.165
bicycle,5,other,unknown,0.311
banking_chatbots,5,other,unknown,0.209
baking_history,5,event_occurred,event,0.393
backpack_recommendation,5,recommended,speech,0.237
baby_shower_theme,5,other,unknown,0.281
babur_history,5,event_occurred,event,0.188
assistant_technical_advice,5,recommended,speech,0.617
assistant_suggestion,5,recommended,speech,0.696
assistant_social_media_advice,5,recommended,speech,0.537
argentina_festival,5,other,unknown,0.321
aquarium_setup,5,other,unknown,0.201
aquarium_livestock,5,other,unknown,0.228
appraiser_directory,5,other,unknown,0.282
api_endpoint,5,other,unknown,0.266
airline_status,5,health_status,single,0.374
airline_recommendation,5,recommended,speech,0.318
airline_amenity,5,other,unknown,0.248
zip_code,4,other,unknown,0.224
yoga_routine,4,routine,single,0.457
yoga_practice,4,other,unknown,0.328
yoga_classes,4,other,unknown,0.337
writing_tools,4,uses_tool,single,0.521
work_project,4,works_at,single,0.364
work_events,4,event_occurred,event,0.521
work_achievements,4,works_as,single,0.457
weekly_routine,4,routine,single,0.638
wedding_planning,4,planned_event,event,0.397
water_bottle,4,other,unknown,0.189
vr_educational_tool,4,other,unknown,0.240
volunteer_history,4,event_occurred,event,0.331
video_games,4,practises_hobby,set,0.369
user_interest,4,recommended,speech,0.362
university_funding,4,financial_activity,set,0.371
travel_plan,4,planned_event,event,0.482
track_gear_recommendation,4,recommended,speech,0.334
task_management_tool,4,uses_tool,single,0.548
suspension_specs,4,other,unknown,0.172
supplier_recommendation,4,recommended,speech,0.310
successful_fishers,4,other,unknown,0.163
store_visits,4,visited,set,0.455
sports_activity,4,practises_hobby,set,0.513
software_usage,4,uses_tool,single,0.535
social_media_hashtags,4,other,unknown,0.217
sneakers,4,other,unknown,0.217
snack_habit,4,routine,single,0.396
skills_learned,4,other,unknown,0.281
singing_playing_recommendations,4,recommended,speech,0.410
shopping_interest,4,financial_activity,set,0.438
scheduled_events,4,planned_event,event,0.708
salsa_shoe_recommendations,4,recommended,speech,0.199
running_routine,4,routine,single,0.472
running_goal,4,current_goal,single,0.543
router,4,other,unknown,0.204
rippling_role_detail,4,other,unknown,0.318
religious_activities,4,practises_hobby,set,0.415
recurring_activities,4,routine,single,0.535
recipes,4,cooked,set,0.604
real_estate,4,lives_in,single,0.435
reading_habits,4,read,set,0.662
project_management_tool,4,uses_tool,single,0.522
productivity_tools,4,uses_tool,single,0.597
planned_projects,4,planned_event,event,0.532
planned_activity,4,planned_event,event,0.615
physical_activity,4,practises_hobby,set,0.573
phone_case,4,other,unknown,0.219
personal_possessions,4,owns,set,0.685
pasteurization_method,4,other,unknown,0.171
past_event,4,event_occurred,event,0.782
party_props,4,other,unknown,0.259
party_planning,4,planned_event,event,0.429
partner_name,4,relationship_status,single,0.424
packing_list,4,other,unknown,0.207
orlando_attractions,4,other,unknown,0.332
online_purchases,4,acquired,set,0.364
observatory_projects,4,other,unknown,0.217
new_orleans_restaurant_recommendation,4,recommended,speech,0.374
netflix_recommendation,4,recommended,speech,0.477
mythology,4,other,unknown,0.240
musical_recommendations,4,recommended,speech,0.333
music_listening,4,listened_to,set,0.697
museum_visit,4,visited,set,0.487
monitor_recommendations,4,recommended,speech,0.351
midjourney_parameters,4,other,unknown,0.222
medication,4,other,unknown,0.332
medical_task,4,health_status,single,0.419
medical_devices,4,other,unknown,0.249
media_watchlist,4,watched,set,0.542
marketing_campaign,4,current_goal,single,0.362
maintenance_tasks,4,other,unknown,0.350
magazine_subscriptions,4,listened_to,set,0.393
living_room_decor,4,lives_in,single,0.393
livestock,4,other,unknown,0.293
legal_case_opinion,4,other,unknown,0.249
learning_interests,4,studies,single,0.418
laptop,4,other,unknown,0.215
kitchen_appliance,4,other,unknown,0.268
jj_sustainability_goal,4,current_goal,single,0.332
iot_pricing,4,other,unknown,0.320
howard_university_partnerships,4,other,unknown,0.238
household_purchases,4,acquired,set,0.333
homemade_food,4,cooked,set,0.574
home_organization,4,works_at,single,0.388
home_buying_status,4,other,unknown,0.312
health_status,4,health_status,single,0.823
health_advice,4,recommended,speech,0.452
grocery_list,4,ate_at,set,0.353
granola_ingredients,4,other,unknown,0.172
goat_care_recommendation,4,recommended,speech,0.359
goals,4,current_goal,single,0.623
games_finished,4,completed,set,0.444
game_played,4,other,unknown,0.234
game_inventory,4,owns,set,0.380
game_development,4,other,unknown,0.287
future_travel,4,visited,set,0.463
fundraising_goal,4,current_goal,single,0.470
footprint_specs,4,other,unknown,0.203
food_storage_advice,4,recommended,speech,0.304
food_recommendation,4,recommended,speech,0.415
fitness_schedule,4,routine,single,0.467
favorite_artists,4,other,unknown,0.337
family_milestones,4,milestone,event,0.728
family_history,4,event_occurred,event,0.425
family_event,4,event_occurred,event,0.493
exhibition_schedule,4,routine,single,0.440
exercise_plans,4,planned_event,event,0.463
employment_history,4,event_occurred,event,0.489
eminem_reference,4,other,unknown,0.214
elk_stack_requirements,4,other,unknown,0.138
display_plans,4,planned_event,event,0.304
dinner_menu,4,ate_at,set,0.474
dining_recommendation,4,recommended,speech,0.493
dance_class,4,other,unknown,0.292
daily_schedule,4,routine,single,0.541
daily_habits,4,routine,single,0.704
coupons_used,4,other,unknown,0.307
cooking_tip,4,cooked,set,0.426
cooking_instruction,4,cooked,set,0.584
cooking_ingredients,4,cooked,set,0.614
contacts_met,4,attended,set,0.417
commute_method,4,other,unknown,0.211
commute_habit,4,routine,single,0.401
colony_staff,4,other,unknown,0.330
coffee_preference,4,prefers,single,0.378
clothing_purchase,4,acquired,set,0.417
cleaning_recommendation,4,recommended,speech,0.429
classes_taken,4,studies,single,0.386
classes,4,other,unknown,0.345
children,4,other,unknown,0.187
charity_interests,4,financial_activity,set,0.401
cat_supplies,4,owns_pet,single,0.380
car_expense,4,drives,single,0.386
car_accessories,4,drives,single,0.392
cable_management_recommendation,4,recommended,speech,0.273
business_ownership,4,owns,set,0.595
business_activity,4,financial_activity,set,0.425
breakfast_routine,4,routine,single,0.641
books_to_read,4,read,set,0.683
books_read_count,4,read,set,0.662
booked_activities,4,attended,set,0.433
birthday,4,milestone,event,0.518
birding_activity,4,practises_hobby,set,0.354
bedtime_routine,4,routine,single,0.589
baking_advice,4,recommended,speech,0.423
badr_rules,4,other,unknown,0.285
author_recommendations,4,recommended,speech,0.485
art_purchases,4,acquired,set,0.342
apps_used,4,used_service,set,0.547
addressable_market,4,other,unknown,0.219
accommodation_recommendation,4,recommended,speech,0.369
zombie_design,3,other,unknown,0.167
zombie_ability,3,other,unknown,0.147
yoga_retreat,3,other,unknown,0.270
yoga_frequency,3,other,unknown,0.322
workshop_recommendation,3,recommended,speech,0.453
workout_schedule,3,routine,single,0.505
workout_goal,3,current_goal,single,0.523
work_tasks,3,works_as,single,0.515
wordpress_theme_details,3,other,unknown,0.188
wishlist,3,other,unknown,0.231
wingman_features,3,other,unknown,0.168
win_it_platform,3,other,unknown,0.172
wellness_plans,3,planned_event,event,0.395
wedding_plans,3,planned_event,event,0.392
wallet_recommendation,3,recommended,speech,0.298
volunteering_interests,3,practises_hobby,set,0.447
volunteer_plans,3,planned_event,event,0.361
volunteer_activity,3,practises_hobby,set,0.468
venue_details,3,attended,set,0.455
vehicles_owned,3,owns,set,0.691
vehicles,3,drives,single,0.561
vacation_history,3,event_occurred,event,0.566
upcoming_trip,3,planned_event,event,0.496
tv_shows_watched,3,watched,set,0.728
trello_feature,3,other,unknown,0.189
travel_expenses,3,financial_activity,set,0.414
travel_budget,3,financial_activity,set,0.369
travel_booking,3,visited,set,0.437
travel_accommodation,3,visited,set,0.526
transportation_method,3,other,unknown,0.308
topic_keywords,3,explained,speech,0.356
thesis_milestone,3,milestone,event,0.641
texas_business_incentives,3,other,unknown,0.210
technical_tasks,3,works_as,single,0.361
technical_issue,3,other,unknown,0.166
team_size,3,team_size,single,0.812
tea_preference,3,prefers,single,0.414
sustainable_organization_example,3,other,unknown,0.274
sustainability_habits,3,grows,set,0.403
streaming_service,3,listened_to,set,0.551
store_recommendation,3,recommended,speech,0.347
storage_recommendations,3,recommended,speech,0.241
sports_viewing,3,watched,set,0.452
sports_team_fan,3,other,unknown,0.344
sports_interests,3,practises_hobby,set,0.454
sports_events_watched,3,watched,set,0.459
sports_activities,3,practises_hobby,set,0.539
social_media_tools,3,uses_tool,single,0.478
social_media_stats,3,other,unknown,0.244
social_media_posts,3,other,unknown,0.269
social_media_habits,3,listened_to,set,0.355
social_media_goal,3,current_goal,single,0.508
social_media_follows,3,other,unknown,0.273
social_media_engagement,3,other,unknown,0.324
social_activities,3,practises_hobby,set,0.534
sneaker_cleaner_recommendations,3,recommended,speech,0.270
smartphone,3,other,unknown,0.293
smart_tv,3,watched,set,0.355
skincare_recommendation,3,recommended,speech,0.428
skincare_brands,3,other,unknown,0.271
sister_interests,3,other,unknown,0.293
shows_watching,3,watched,set,0.698
show_recommendation,3,recommended,speech,0.511
shopping_orders,3,ate_at,set,0.424
shopping_habits,3,routine,single,0.408
shopping_activity,3,practises_hobby,set,0.358
shelf_recommendation,3,recommended,speech,0.268
sewing_projects,3,other,unknown,0.250
scheduled_meeting,3,planned_event,event,0.548
schedule,3,routine,single,0.433
savoy_travel_recommendation,3,recommended,speech,0.317
savings_goal,3,current_goal,single,0.546
safe_brand,3,other,unknown,0.220
running_stats,3,other,unknown,0.246
running_personal_best,3,prefers,single,0.353
ride_recommendation,3,recommended,speech,0.305
rewards_program,3,other,unknown,0.224
rewards_points,3,other,unknown,0.222
reunion_activities,3,attended,set,0.451
residency_duration,3,lives_in,single,0.365
renovation_recommendation,3,recommended,speech,0.330
recurring_meetings,3,routine,single,0.379
recommended_varieties,3,other,unknown,0.313
recommended_products,3,recommended,speech,0.490
recipient_interests,3,acquired,set,0.396
recipes_tried,3,cooked,set,0.408
recipe_variation,3,cooked,set,0.464
recipe_preferences,3,cooked,set,0.459
recipe_interest,3,cooked,set,0.473
real_estate_investments,3,financial_activity,set,0.405
reading_nook_plans,3,planned_event,event,0.355
reading_history,3,event_occurred,event,0.518
purchase_intent,3,acquired,set,0.410
ptinsights_milestone,3,milestone,event,0.516
property_owned,3,owns,set,0.686
property_appraisal,3,owns,set,0.482
project_deadline,3,completed,set,0.401
profession,3,works_as,single,0.648
power_bank,3,other,unknown,0.146
pottery_class_recommendation,3,recommended,speech,0.254
planting_instructions,3,grows,set,0.434
planned_purchase,3,acquired,set,0.444
photography_recommendation,3,recommended,speech,0.380
photo_editing_software,3,other,unknown,0.259
phone_owned,3,owns,set,0.464
pet_expenses,3,owns_pet,single,0.586
personal_collection,3,owns,set,0.542
persona_profile,3,other,unknown,0.327
pc_component_recommendation,3,recommended,speech,0.302
past_trip,3,visited,set,0.560
passport_expiry,3,other,unknown,0.213
party_menu,3,other,unknown,0.268
parental_leave_policy,3,other,unknown,0.236
outfit_plans,3,planned_event,event,0.347
online_purchase,3,acquired,set,0.320
oahu_recommendation,3,recommended,speech,0.275
musicals_watched,3,watched,set,0.466
musical_interests,3,listened_to,set,0.412
music_taste,3,listened_to,set,0.457
music_preference,3,listened_to,set,0.475
music_collection,3,owns,set,0.413
museum_recommendation,3,recommended,speech,0.346
mouse_specs,3,other,unknown,0.186
monthly_income,3,other,unknown,0.334
model_building,3,other,unknown,0.225
mirror_recommendation,3,recommended,speech,0.360
merlion_statue_info,3,other,unknown,0.200
meditation_resources,3,other,unknown,0.231
medical_info,3,health_status,single,0.461
medical_device_info,3,other,unknown,0.317
medical_condition,3,health_status,single,0.582
media_info,3,listened_to,set,0.356
meal_recommendations,3,recommended,speech,0.438
meal_prep_schedule,3,routine,single,0.467
luxury_purchases,3,acquired,set,0.385
lubricant_preference,3,other,unknown,0.276
location_info,3,lives_in,single,0.432
legal_name,3,other,unknown,0.322
legal_case_details,3,other,unknown,0.294
laundry_schedule,3,routine,single,0.354
laptop_ram,3,other,unknown,0.136
laptop_bag,3,other,unknown,0.259
language_conservancy_projects,3,other,unknown,0.273
land_ownership,3,owns,set,0.578
knitting_projects,3,other,unknown,0.297
kitchen_items,3,other,unknown,0.343
kailua_kona_accommodation_recommendation,3,recommended,speech,0.327
job_search,3,works_at,single,0.468
job_application,3,works_at,single,0.458
jewelry_designers,3,other,unknown,0.262
jewelry_designer,3,other,unknown,0.263
interviewed_woman_age,3,other,unknown,0.262
instrumentsfinder_services,3,uses_tool,single,0.413
instrument_experience,3,other,unknown,0.260
instructor_name,3,other,unknown,0.291
instructor_info,3,other,unknown,0.272
instagram_hashtags,3,other,unknown,0.182
instagram_followers,3,other,unknown,0.273
insecurity,3,other,unknown,0.296
immigration_status,3,health_status,single,0.426
immigration_forms,3,other,unknown,0.173
hunting_plans,3,planned_event,event,0.352
housing_status,3,lives_in,single,0.495
hotel_stay,3,visited,set,0.444
hotel_budget,3,financial_activity,set,0.342
home_ownership,3,owns,set,0.523
home_decor_plans,3,planned_event,event,0.326
home_country,3,lives_in,single,0.474
hm_purchases,3,acquired,set,0.325
historical_figure,3,other,unknown,0.286
hikes_completed,3,completed,set,0.384
herb_fertilizer_recommendation,3,recommended,speech,0.380
health_history,3,event_occurred,event,0.442
gym_schedule,3,routine,single,0.439
gym_frequency,3,other,unknown,0.306
grocery_purchase,3,acquired,set,0.331
great_wall_history,3,event_occurred,event,0.254
gift_subscription_feature,3,other,unknown,0.299
gift_purchased,3,acquired,set,0.513
gift_purchase,3,acquired,set,0.487
gift_planning,3,other,unknown,0.320
gift_history,3,event_occurred,event,0.446
gift_cards,3,other,unknown,0.288
gardening_supplies,3,grows,set,0.573
